Country,Internet_Access,Digital_Skills,EGovernment_Use,Cloud_Computing
Austria,94.96,64.68,64.05,35.6
Belgium,94.62,59.39,67.4,47.7
Bosnia and Herzegovina,84.19,30.08,21.62,18.1
Bulgaria,92.12,35.52,24.54,14.2
Croatia,88.37,58.95,44.53,40.7
Cyprus,94.92,49.46,73.64,45.5
Czechia,94.56,69.11,64.94,35.2
Denmark,96.92,69.62,95.13,66.2
Estonia,92.89,63.02,80.59,52.6
Finland,97.35,81.99,89.71,73.0
France,94.44,60.14,70.72,22.9
Germany,92.65,52.4,45.02,38.5
Greece,86.89,52.22,52.21,18.1
Hungary,94.78,58.89,77.17,37.1
Ireland,92.97,72.91,79.79,53.1
Italy,93.41,45.75,41.93,55.1
Latvia,94.33,45.34,65.07,29.0
Lithuania,90.38,52.91,69.09,33.6
Luxembourg,98.84,59.67,75.21,32.6
Malta,95.58,62.61,59.16,58.2
Montenegro,84.5,52.02,26.26,28.0
Netherlands,99.04,82.7,85.55,57.4
Norway,98.1,81.09,90.37,68.2
Poland,95.89,44.3,43.22,46.5
Portugal,90.6,55.97,64.69,32.3
Romania,94.57,27.73,18.2,15.5
Serbia,88.85,33.61,45.98,28.4
Slovakia,90.54,51.31,61.43,30.2
Slovenia,94.13,46.7,64.52,36.0
Spain,96.83,66.44,61.56,27.2
Sweden,95.43,66.18,79.76,66.0
Türkiye,96.45,33.11,70.34,14.2
