Country,Internet_Access,Digital_Skills,EGovernment_Use,Cloud_Computing,Internet_Access_Norm,Digital_Skills_Norm,EGovernment_Use_Norm,Cloud_Computing_Norm,Connectivity_SubIndex,DigitalSkills_SubIndex,EGovernment_SubIndex,BusinessDigitalisation_SubIndex,EDRI_Score,Rank,PC1,PC2,Cluster,Cluster_Label
Finland,97.35,81.99,89.71,73.0,88.61952861952852,98.70838639257775,92.95463408293253,100.0,88.61952861952852,98.70838639257775,92.95463408293253,100.0,95.0706372737597,1,3.185763022585719,-0.5765662196852995,0,High Digital Readiness
Norway,98.1,81.09,90.37,68.2,93.6700336700336,97.07112970711299,93.81255686988172,91.83673469387756,93.6700336700336,97.07112970711299,93.81255686988172,91.83673469387756,94.09761373522647,2,3.114217455204235,-0.261332649649902,0,High Digital Readiness
Netherlands,99.04,82.7,85.55,57.4,100.0,100.0,87.54712075913167,73.46938775510205,100.0,100.0,87.54712075913167,73.46938775510205,90.25412712855842,3,2.8303434450207776,0.15897198789129754,0,High Digital Readiness
Denmark,96.92,69.62,95.13,66.2,85.72390572390577,76.2052028379116,100.0,88.43537414965988,85.72390572390577,76.2052028379116,100.0,88.43537414965988,87.59112067786931,4,2.619608895277665,-0.14442260950063154,0,High Digital Readiness
Sweden,95.43,66.18,79.76,66.0,75.69023569023568,69.94724395124615,80.02079812816848,88.0952380952381,75.69023569023568,69.94724395124615,80.02079812816848,88.0952380952381,78.4383789662221,5,1.904232622022927,-0.4434471576319959,0,High Digital Readiness
Ireland,92.97,72.91,79.79,53.1,59.1245791245791,82.1902856103329,80.05979461848435,66.156462585034,59.1245791245791,82.1902856103329,80.05979461848435,66.156462585034,71.8827804846076,6,1.466356209349853,-0.8337351650693533,0,High Digital Readiness
Estonia,92.89,63.02,80.59,52.6,58.585858585858546,64.19865381116975,81.09970102690758,65.30612244897961,58.585858585858546,64.19865381116975,81.09970102690758,65.30612244897961,67.29758396822888,7,1.1015241181729885,-0.572110349789231,0,High Digital Readiness
Malta,95.58,62.61,59.16,58.2,76.70033670033672,63.452792432235775,53.24320811126998,74.82993197278913,76.70033670033672,63.452792432235775,53.24320811126998,74.82993197278913,67.05656730415791,8,1.0110981204038854,-0.2054460060844724,0,High Digital Readiness
Luxembourg,98.84,59.67,75.21,32.6,98.65319865319861,58.10442059305077,74.10633043026127,31.292517006802726,98.65319865319861,58.10442059305077,74.10633043026127,31.292517006802726,65.53911667082835,9,0.9401751007683024,1.3179625597977231,1,Medium Digital Readiness
Belgium,94.62,59.39,67.4,47.7,70.2356902356903,57.59505184646171,63.95424411802939,56.97278911564627,70.2356902356903,57.59505184646171,63.95424411802939,56.97278911564627,62.18944382895691,10,0.6782686780497612,-0.02620524254509534,1,Medium Digital Readiness
